Risk_ID,Asset,Risk_Category,Risk_Description,Likelihood_Inherent,Impact_Inherent,Inherent_Risk_Score,Inherent_Risk_Rating,Existing_Controls,Likelihood_Residual,Impact_Residual,Residual_Risk_Score,Residual_Risk_Rating,Risk_Owner,Treatment_Decision,Target_Date,Status
R-001,Employee Identity & Access Management (IAM) System,Access Management,"Because periodic access reviews are not consistently performed, terminated or role-changed employees could retain inappropriate system access, resulting in unauthorized access to sensitive data or fraud.",4,5,20,High,"Quarterly access review by IT Manager; access requests require manager approval before provisioning",2,5,10,Medium,IT Manager,Mitigate,2026-09-30,In Progress
R-002,Production Application Codebase (GitHub),Change Management,"Because developers have standing write access to the main production branch, an unauthorized or untested code change could be deployed without review, resulting in system errors or a security vulnerability in production.",3,5,15,High,"Branch protection rules requiring 1 peer approval; CI pipeline runs automated tests before merge",1,5,5,Medium,Engineering Lead,Mitigate,2026-08-15,Open
R-003,Customer Database (PostgreSQL - AWS RDS),Data Protection,"Because the database is not encrypted at rest, a compromised backup or storage volume could expose customer personal data, resulting in a data breach and regulatory notification obligations under GDPR.",2,5,10,Medium,"Network-level access restricted via security groups; VPN required for admin access",2,5,10,Medium,Database Administrator,Mitigate,2026-08-01,Open
R-004,Payroll Processing System,Segregation of Duties,"Because the same Finance Operations Specialist can both create new vendor records and approve vendor payments, a fraudulent vendor could be created and paid without independent detection.",3,4,12,Medium,"Monthly reconciliation of vendor master file changes reviewed by Controller (compensating control)",2,4,8,Medium,Finance Controller,Mitigate,2026-10-15,In Progress
R-005,Corporate Laptops (Employee Endpoints),Endpoint Security,"Because not all company laptops have endpoint detection and response (EDR) software installed, a compromised device could go undetected, resulting in malware spread or data exfiltration.",3,4,12,Medium,"MDM enrollment required at onboarding; EDR deployed to 85% of fleet",2,4,8,Medium,IT Security Manager,Mitigate,2026-09-01,In Progress
R-006,Third-Party Payroll Vendor (SaaS),Vendor / Third-Party Risk,"Because the payroll vendor's most recent SOC 2 Type II report has not been reviewed in over 12 months, the company cannot confirm the vendor's controls over employee PII are still operating effectively.",3,4,12,Medium,"Vendor onboarding included initial SOC 2 report review and signed DPA",2,4,8,Medium,Vendor Risk Analyst,Mitigate,2026-08-30,Open
R-007,Core Banking / Financial Reporting System,Backup & Recovery,"Because backup restoration has not been tested in the last 12 months, a disaster recovery event could reveal that backups are corrupted or incomplete, resulting in extended downtime or permanent data loss.",2,5,10,Medium,"Nightly automated backups configured with 30-day retention",2,5,10,Medium,Infrastructure Manager,Mitigate,2026-08-20,Open
R-008,Cloud Infrastructure (AWS Root Account),Privileged Access Management,"Because the AWS root account does not have multi-factor authentication enforced, a compromised credential could grant an attacker unrestricted control over all cloud infrastructure.",2,5,10,Medium,"Root account credentials stored in a password vault, not used for daily operations",1,5,5,Medium,Cloud Security Engineer,Mitigate,2026-07-31,Open
R-009,Customer Support Ticketing Platform,Logging & Monitoring,"Because access to customer PII within the support platform is not logged, unauthorized viewing of customer data by support staff could occur without detection.",3,3,9,Medium,"Role-based access limits which support tiers can view full PII fields",2,3,6,Low,Support Operations Manager,Accept,2026-12-31,Open
R-010,New HR System Migration (In Progress),SDLC / Program Development,"Because a formal data migration reconciliation has not yet been scheduled, incomplete or inaccurate employee data could be carried into the new HR system without detection before go-live.",3,4,12,Medium,"UAT test plan drafted; business owner sign-off required before go-live per SDLC policy",1,4,4,Low,HR Systems Project Manager,Mitigate,2026-08-10,Open
