Risk,Control,Control Type,Control Function,Owner,Status
Phishing,Security Awareness Training,Administrative,Preventive,HR,Implemented
Stolen Laptop,Disk Encryption,Technical,Preventive,IT,Implemented
Unauthorized Office Access,Badge Reader,Physical,Preventive,Facilities,Implemented
Malware Infection,Endpoint Detection and Response (EDR),Technical,Detective,IT Security,Implemented
Weak or Reused Passwords,Multi-Factor Authentication (MFA),Technical,Preventive,IT Security,Implemented
Unauthorized System Access,Quarterly Access Review,Administrative,Detective,IT Manager,Implemented
Unpatched Software Vulnerabilities,Patch Management Process,Technical,Preventive,IT,In Progress
Data Breach in Transit,TLS/SSL Encryption,Technical,Preventive,Engineering,Implemented
Data Breach at Rest,Database Encryption,Technical,Preventive,Database Admin,In Progress
Insider Threat / Data Theft,User Activity Logging & Monitoring,Technical,Detective,IT Security,Implemented
Unauthorized Production Change,Change Approval Workflow,Administrative,Preventive,Engineering Lead,Implemented
Segregation of Duties Conflict,Vendor Creation/Payment Split,Administrative,Preventive,Finance Controller,Implemented
Terminated Employee Retains Access,Automated Offboarding,Technical,Preventive,IT,In Progress
Third-Party Vendor Data Exposure,Vendor Security Assessment,Administrative,Preventive,Vendor Risk Analyst,Implemented
System Outage / Data Loss,Automated Nightly Backups,Technical,Corrective,Infrastructure Mgr,Implemented
Untested Disaster Recovery,Annual DR Failover Test,Administrative,Detective,Infrastructure Mgr,Planned
Social Engineering (Vishing),Phishing Simulation Program,Administrative,Preventive,HR,In Progress
USB Data Exfiltration,USB Port Restriction Policy,Technical,Preventive,IT Security,Planned
Fire / Environmental Damage,Fire Suppression System,Physical,Preventive,Facilities,Implemented
Unauthorized Cloud Access,Cloud IAM Least Privilege,Technical,Preventive,Cloud Security Eng,Implemented
Incident Response Delay,Documented IR Plan,Administrative,Corrective,IT Security,Implemented
